sentiment,review_body,product_category
-1,"I so wanted to love this top. i ordered the ""blue""  which is blue and orange. i thought the orange would be brighter  it is not. it is a dull color. also  i'm usually a medium  this top fits fine on my shoulders/bust 34c  but it was huge around the waist  making me look a lot larger. if this top were a bit smaller around the waist  i would keep it  but it is going back.",Blouses
-1,The blouse is lovely - but after washing it exactly as specified  it shrank more than a full size. this is an expensive hand-me-down for my daughter...,Blouses
-1,I wanted to love this product so badly. i ordered it in the mail  and it looked beautiful coming out of the box. i normally look really nice in grey  but this color really washed me out and was not nice on. the fabric is very sheer  so you would have to wear it over a camisole/tank top. this is one of those pieces that looks better on the hanger than in person. large in arms  small on body. odd fit.,Blouses
-1,Looks lovely in the picture but looks poorly made in person  runs very small. i returned it.,Blouses
-1,First  the fabric is beautiful and lovely for spring and summer. i really wanted to like this top  but the fitting is so awkward for me. i typically where a 0/xs  and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.,Blouses
-1,I own two poodles and love anything poodle print. i was estatic to see this and i snagged it on sale. but it is horrible. the fit is like wearing a pillowcase. it was about 5 inches too wide on each side while the arms fit. it looked like it was attempting to have a dolman shape but it was way too short  wide  and wrong. i was in love with the print however i had to return it.,Blouses
-1,I loved the look of this blouse online. i really wanted a cute eyelet top for summer. the blouse looked great out of the package but the fit was not good. i am a 00p and 32 b bra size  this top was too tight across my chest but billowed out in the back. its as if the armholes were too far forward. it is fairly short but i am short waisted. i really wanted this top to work but i had to return it. if i went up one size the back of the blouse would have been ridiculously large and the top was too e,Blouses
-1,This top was supposed to be 23 1/4 inches long in petite. it's actually 28 1/2 inches long.  it's also large in width. hard to believe it's an extra small petite.,Blouses
-1,This blouse is stunning on the website ;however  it is totally sheer which you cannot tell from the photo. i was very disappointed and will be returning.,Blouses
0,This is a great feminine top i just wish it were a little bit longer for my taste  it hit about two inches below my belly button. it was a little snug around the belly area so that's why i feel it runs small for the brand  usually the brand runs true to size but not for this top,Blouses
0,"This top looks adorable in the product photos  so i had high hopes. i think i might be too short to pull it off  but like another reviewer said  i found it to be like a tent on me  billowing out in all directions. it was just overall too big on me--i even considered whether i could wear it as a dress  but the sleeves were also too billowy on me. i am 5'4""  120 lbs and tried the xs.",Blouses
0,"The blouse is lovely - i loved the lace  color (though just as other reviewers mentioned its a darker blue closer to a teal color) and edging. i am very petite  for reference  5'2""  24 waist and 30e and normally wear a 00 or 00p. the 00 was still too wide for me around the waist/bottom and had too much of a swingy effect - it made me look like i was pregnant so i sadly returned. i wish this had more of a fitted look to it.",Blouses
0,"I am 5' 8""  145 pounds with a 32 ddd bust. i typically purchase a small or a 4 to 6 in blouses. this blouse was small across the chest and therefore  i purchased a size 8. it is a nice fit. however  the button placement on the blouse does not work well for someone who is chesty. one button is placed slightly above bust line and the other slightly below. this causes a peek-a-boo space between buttons. therefore  i wear a bright white tank top beneath the blouse and wear the blouse unbuttoned to j",Blouses
0,This shirt is gorgeous at first glance. the quality is there and it has a beautiful design...from the front  that is. but it is huge and billowy with back pleats. i cannot imagine this being flattering on anyone. it just adds so much volume to the top. i am thin and petite so maybe that was the issue  but i just can't see adding so much volume. this was a total miss for me. such a shame. would have been great without all the extra volume in back.,Blouses
0,...the print is so sharking  and i love the way it looks on the model -- but i'm a more curvy figure  and the boxy-ish cut plus rather stuff fabric in front is incredibly unflattering. ordinarily i love everything made by maeve  but this one sadly must be returned... on a thinner/straighter-shaped person i expect it would be great.,Blouses
0,Fits well through the shoulders and arms  but there is zero waist  and it just looks like a bunch of extra fabric hanging from the top. super cute  but have to return because of that.,Blouses
0,I have a 36c bust. i bought this blouse in a 10  even though i wear an 8 or 10. i sized up based on previous reviews. this top was super tight in the bust (it literally flattened my breasts) and very loose on the bottom. it was not flattering at all. the material is gorgeous. it is thick. it is lined. it is darted at the bust and it flares out in a peplum fashion where the light fabric up top meets the dark band of fabric in the middle. the problem is that busty ladies will find the bust area wa,Blouses
0,Beautiful top  the silk was good quality  not thin. ordered a 6 because it was selling out so quickly  wished i could have ordered the 4. will definitely try if they come back in stock.,Blouses
1,I got m in black with white. it's ok. material is soft and nice. classy. plan to return it since color is not flattering  makes me look old.,Blouses
1,I have the white lemon lace shirt and love it so i was excited to see it in a color well suited for fall. the peacock pattern on the blouse i received is perfect and the pattern is well placed. i do love this one as much as the lemon blouse  however  the color is not the same as it appears online. it is more of a jade green color  and although it's pretty  i would have preferred it to look more of a blue color. i'm keeping it  as it is still an unusual and elegant blouse that's cute with dark sk,Blouses
1,"I somehow missed that there was a slit in the front of this tunic below the buttons. it looks fine on  i'm just wondering if i can still pull it off with only leggings underneath (why i got it). otherwise  just as pictured. i'm 5'7"" 125 lbs and got an xs.",Blouses
1,I noted that this runs large- i should say it runs wide. it is supposed to be flowy like in the picture  but i am really swimming in the l. that being said  i worry that if i returned for a m that it would be too short in the front. i am 5'10 for reference  and i would say the length in front is a little shorter than i would like  but it still works. the black and white print is beautiful- i paired it today with dark skinny jeans and received compliments. other reviews about the batwing sleeves,Blouses
1,I ended up ordering this in a petite online after trying it on in store. i found the regular length to be a bit too long and flowy and i preferred it to be more tailored. it's very cute and on trend. can't wait to wear it with some dark flare jeans!,Blouses
1,I bought the umbrella print in the petite length. i'm pleased with the whimsical print and crisp colors. the fit is just right for me  although the style runs a bit wide at the waist. it's a casual loose fit  more fitted on top at the bust  shoulders and sleeves  and flaring out below the waist. i would wear it untucked over jeans or a narrow skirt. the only thing i'm not crazy about is the rayon fabric  though it is a substantial weight and machine washable.,Blouses
1,I was urged to try this on by my usual stylist as she thought it would look nice with shorts i purchased or jeans or pencil skirt i own (she knows a lot of what i own). it is truly pretty love the embroidered cut outs makes the tank look stylish. the cut is also flattering  though i think i'll have to wear a strapless bra. color is also warm enough to work on pale skin like me or a golden tan. i purchased the 0 regulr  tried on petite but i found it was short and flared too much. i am 115 lbs 30,Blouses
1,Beautiful and flowy blouse . bottom is very full so i recommend sizing down - 1 size. very feminine and i really like the colors and pattern. i am a 36c on top and found top flattering with pilcro serif legging like jeans and booties.,Blouses
1,Love the lightweight fabric! looks great with skinny jeans. it is flowy  but flattering.  wearing it on my shoulders for work -,Blouses
